type,name,url
emote,BrokeBack,https://static-cdn.jtvnw.net/emoticons/v2/4057/static/dark/3.0
emote,Kreygasm,https://static-cdn.jtvnw.net/emoticons/v2/41/static/dark/3.0
emote,PipeHype,https://static-cdn.jtvnw.net/emoticons/v2/4240/static/dark/3.0
emote,LUL,https://static-cdn.jtvnw.net/emoticons/v2/425618/static/dark/3.0
emote,PowerUpR,https://static-cdn.jtvnw.net/emoticons/v2/425671/static/dark/3.0
emote,PowerUpL,https://static-cdn.jtvnw.net/emoticons/v2/425688/static/dark/3.0
emote,YouWHY,https://static-cdn.jtvnw.net/emoticons/v2/4337/static/dark/3.0
emote,RitzMitz,https://static-cdn.jtvnw.net/emoticons/v2/4338/static/dark/3.0
emote,HSCheers,https://static-cdn.jtvnw.net/emoticons/v2/444572/static/dark/3.0
emote,HSWP,https://static-cdn.jtvnw.net/emoticons/v2/446979/static/dark/3.0
emote,SSSsss,https://static-cdn.jtvnw.net/emoticons/v2/46/static/dark/3.0
emote,DarkMode,https://static-cdn.jtvnw.net/emoticons/v2/461298/static/dark/3.0
emote,PunchTrees,https://static-cdn.jtvnw.net/emoticons/v2/47/static/dark/3.0
emote,TwitchVotes,https://static-cdn.jtvnw.net/emoticons/v2/479745/static/dark/3.0
emote,CorgiDerp,https://static-cdn.jtvnw.net/emoticons/v2/49106/static/dark/3.0
emote,:|,https://static-cdn.jtvnw.net/emoticons/v2/5/static/dark/3.0
emote,ArsonNoSexy,https://static-cdn.jtvnw.net/emoticons/v2/50/static/dark/3.0
emote,TPFufun,https://static-cdn.jtvnw.net/emoticons/v2/508650/static/dark/3.0
emote,ArgieB8,https://static-cdn.jtvnw.net/emoticons/v2/51838/static/dark/3.0
emote,SMOrc,https://static-cdn.jtvnw.net/emoticons/v2/52/static/dark/3.0
emote,ShadyLulu,https://static-cdn.jtvnw.net/emoticons/v2/52492/static/dark/3.0
emote,KappaPride,https://static-cdn.jtvnw.net/emoticons/v2/55338/static/dark/3.0
emote,:-),https://static-cdn.jtvnw.net/emoticons/v2/555555557/static/dark/3.0
emote,:(,https://static-cdn.jtvnw.net/emoticons/v2/555555559/static/dark/3.0
emote,:-(,https://static-cdn.jtvnw.net/emoticons/v2/555555559/static/dark/3.0
emote,:D,https://static-cdn.jtvnw.net/emoticons/v2/555555561/static/dark/3.0
emote,:-D,https://static-cdn.jtvnw.net/emoticons/v2/555555561/static/dark/3.0
emote,>(,https://static-cdn.jtvnw.net/emoticons/v2/555555562/static/dark/3.0
